SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3405 SW Windy Oak Ave,Bentonville,AR,72713,550000,4,2.0,Riverwalk Farm Estates Ph Iv Bentonville,2159,13068,2009,179,255,35,Active,,,https://www.redfin.com/AR/Bentonville/3405-SW-Windy-Oak-Ave-72713/home/116323343,NWARMLS,1233519,N,Y,36.3434177,-94.2507006
MLS Listing,,Single Family Residential,1020 Moonrise St,Centerton,AR,72713,332145,3,2.0,Hilldale Sub Centerton,1815,8276,2022,180,183,8,Active,,,https://www.redfin.com/AR/Bentonville/1020-Crescent-St-72713/home/176839788,NWARMLS,1231747,N,Y,36.342306,-94.285802
MLS Listing,,Single Family Residential,415 NW 62nd Ave,Bentonville,AR,72713,345154,3,2.0,Woodward Hills,2050,6969,2021,188,168,17,Active,,,https://www.redfin.com/AR/Bentonville/415-NW-62nd-Ave-72712/home/182391561,NWARMLS,1231729,N,Y,36.308163,-94.341143
MLS Listing,,Single Family Residential,3501 Lucretia Rd,Bentonville,AR,72713,675000,7,5.0,Willowbrook Farms Sub Ph Ii Bentonville,3515,11761,2022,193,192,63,Active,,,https://www.redfin.com/AR/Bentonville/3501-SW-Lucretia-Rd-72713/home/168138173,NWARMLS,1232826,N,Y,36.337969,-94.262993
MLS Listing,,Single Family Residential,14524 Vaughn Rd,Bentonville,AR,72713,300000,2,2.0,14-19-32 Rural,1440,435600,1985,193,208,,Active,,,https://www.redfin.com/AR/Bentonville/14524-Vaughn-Rd-72713/home/114585554,NWARMLS,1232882,N,Y,36.3165433,-94.3525389
MLS Listing,,Single Family Residential,1805 SW Riverstone Rd,Bentonville,AR,72713,429900,4,2.5,Stone Meadow Add Bentonville,2275,9147,2022,194,189,100,Active,,,https://www.redfin.com/AR/Bentonville/1805-Sw-Riverstone-Rd-72713/home/115572543,NWARMLS,1232782,N,Y,36.3530502,-94.2479864
MLS Listing,,Single Family Residential,6720 Mason Valley Rd,Bentonville,AR,72713,359900,3,2.0,Snyder Station Ph Ix Highfill,1720,98881,1980,194,209,,Active,,,https://www.redfin.com/AR/Bentonville/6720-NW-Mason-Valley-Rd-72713/home/115695695,NWARMLS,1232773,N,Y,36.311813,-94.3399263
MLS Listing,,Single Family Residential,2205 Mccollum Rd,Bentonville,AR,72712,11220000,3,2.0,Driggs Subdivision,1856,435164,2007,194,6045,,Active,,,https://www.redfin.com/AR/Bentonville/2205-McCollum-Dr-72712/home/182612494,NWARMLS,1232654,N,Y,36.3953386,-94.184049
MLS Listing,,Single Family Residential,4601 SW Bridgewater St,Bentonville,AR,72713,499900,4,2.5,Woodlands Crossing Ph I Bentonville,2625,8712,2022,197,190,63,Active,,,https://www.redfin.com/AR/Bentonville/4601-SW-Bridgewater-St-72713/home/176832833,NWARMLS,1232513,N,Y,36.327723,-94.248674
MLS Listing,,Single Family Residential,4701 SW Bridgewater St,Bentonville,AR,72713,499900,4,2.5,Woodlands Crossing Ph I Bentonville,2625,7405,2022,197,190,63,Active,,,https://www.redfin.com/AR/Bentonville/4701-SW-Bridgewater-St-72713/home/176832836,NWARMLS,1232485,N,Y,36.327057,-94.248784
